names	logFC	AveExpr	t	P.Value	adj.P.Val	B
TREML5P	-0.0526709323671604	3.80430802197802	-1.23689380776345	0.219299210286788	0.309394602959945	-6.71472526170942
B4GALT5	0.157496359903343	8.52165598901099	1.23673531777179	0.219357786855918	0.30945868203282	-6.71491954637712
ZNF395	0.0983213285023981	6.08381978021978	1.23662067573233	0.219400164706438	0.309499902470786	-6.71506006510813
PARP11	0.0932068212560271	4.11979175824176	1.23653071942046	0.219433421570111	0.309528252088822	-6.71517031729639
USP36	-0.103756270531417	5.94849021978022	-1.23631438624789	0.219513415040659	0.309604475994953	-6.71543542764742
TMEM262	0.0632244685990164	4.47339406593407	1.23631338374295	0.219513785786218	0.309604475994953	-6.71543665608523
LINC01095	-0.0383594202898645	3.26493285714286	-1.23603854789692	0.219615442587282	0.309729280425309	-6.71577339490142
IFNA5	-0.0360882415459063	3.1323467032967	-1.23594757582799	0.219649099072741	0.309758173053776	-6.71588484122246
LOC101928196	0.0326779710144822	3.22179186813187	1.23582699418576	0.219693715864686	0.309802517964951	-6.71603254884837
TMEM169	0.0506822753623046	4.06215494505495	1.23576084706071	0.219718193978217	0.3098184605736	-6.71611357047728
RUNDC3A	0.11055316908211	4.82169824175824	1.23475019417881	0.220092439193757	0.310327568481337	-6.71735096733548
SKAP2	-0.163903743961377	7.38804978021978	-1.23466757091827	0.220123055168122	0.31035213149228	-6.71745208416126
CEP135	0.0494398502415292	4.33958846153846	1.23451986185226	0.220177796367911	0.310410703744726	-6.71763283864343
EMID1	-0.0800273985507403	5.45388692307692	-1.23427051348362	0.220270227767354	0.310522402127077	-6.71793792368402
YOD1	-0.129342512077317	5.38646362637363	-1.23408032233787	0.220340749087462	0.310603201590477	-6.71817058806183
EU250746	0.11253267632849	3.42840153846154	1.23381421617396	0.220439446702824	0.310715571370724	-6.71849606250137
SSBP3	0.145602236714956	5.88526824175824	1.23379416424561	0.220446885181261	0.310715571370724	-6.71852058526403
